Date,Close
2018-01-02,257.6
2018-01-03,260.82
2018-01-04,264.88
2018-01-05,265.92
2018-01-08,268.66
2018-01-09,267.75
2018-01-10,268.01
2018-01-11,271.19
2018-01-12,271.85
2018-01-16,269.58
2018-01-17,271.49
2018-01-18,272.18
2018-01-19,274.32
2018-01-22,273.89
2018-01-23,272.02
2018-01-24,270.41
2018-01-25,268.04
2018-01-26,268.85
2018-01-29,267.69
2018-01-30,261.46
2018-01-31,262.48
2018-02-01,261.83
2018-02-02,255.87
2018-02-05,248.5
2018-02-06,250.18
2018-02-07,251.15
2018-02-08,239.27
2018-02-09,235.32
2018-02-12,239.93
2018-02-13,240.32
2018-02-14,240.82
2018-02-15,245.03
2018-02-16,244.19
2018-02-20,240.98
2018-02-21,243.3
2018-02-22,245.43
2018-02-23,252.22
2018-02-26,254.51
2018-02-27,248.74
2018-02-28,246.41
2018-03-01,243.7
2018-03-02,241.31
2018-03-05,241.94
2018-03-06,243.04
2018-03-07,241.68
2018-03-08,240.47
2018-03-09,247.12
2018-03-12,246.54
2018-03-13,250.77
2018-03-14,246.91
2018-03-15,247.4
2018-03-16,252.03
2018-03-19,249.61
2018-03-20,251.99
2018-03-21,249.02
2018-03-22,236.27
2018-03-23,229.48
2018-03-26,239.85
2018-03-27,234.64
2018-03-28,234.8
2018-03-29,240.11
2018-04-02,238.5
2018-04-03,241.04
2018-04-04,238.76
2018-04-05,241.07
2018-04-06,234.29
2018-04-09,234.32
2018-04-10,238
2018-04-11,238
2018-04-12,241.91
2018-04-13,244.49
2018-04-16,250.03
2018-04-17,252
2018-04-18,255.53
2018-04-19,251.59
2018-04-20,247.12
2018-04-23,248.82
2018-04-24,245.56
2018-04-25,246.9
2018-04-26,246.93
2018-04-27,250.33
2018-04-30,247.2
2018-05-01,244.66
2018-05-02,240.6
2018-05-03,242.15
2018-05-04,244.94
2018-05-07,243.12
2018-05-08,241.95
2018-05-09,244.17
2018-05-10,247.7
2018-05-11,250.9
2018-05-14,251.35
2018-05-15,247.34
2018-05-16,247.12
2018-05-17,248.46
2018-05-18,249.45
2018-05-21,254.66
2018-05-22,252.59
2018-05-23,250.47
2018-05-24,251.74
2018-05-25,251.5
2018-05-29,247.61
2018-05-30,253.08
2018-05-31,249.12
2018-06-01,253.6
2018-06-04,251.88
2018-06-05,252
2018-06-06,256.55
2018-06-07,257.25
2018-06-08,260.15
2018-06-11,261.97
2018-06-12,265.53
2018-06-13,262.92
2018-06-14,263.48
2018-06-15,264.56
2018-06-18,263.67
2018-06-19,258.39
2018-06-20,251.43
2018-06-21,246.72
2018-06-22,241.77
2018-06-25,234.53
2018-06-26,236.85
2018-06-27,229.75
2018-06-28,226.67
2018-06-29,227.06
2018-07-02,229.39
2018-07-03,227.61
2018-07-05,228.58
2018-07-06,228.27
2018-07-09,234.94
2018-07-10,235.66
2018-07-11,230.22
2018-07-12,232.69
2018-07-13,233.75
2018-07-16,230.18
2018-07-17,231.15
2018-07-18,236.19
2018-07-19,236.55
2018-07-20,234.93
2018-07-23,236.4
2018-07-24,236.83
2018-07-25,240.24
2018-07-26,241.24
2018-07-27,240.84
2018-07-30,240.44
2018-07-31,245.87
2018-08-01,241.1
2018-08-02,241.12
2018-08-03,243.32
2018-08-06,245.13
2018-08-07,247.85
2018-08-08,245.49
2018-08-09,244.8
2018-08-10,241.76
2018-08-13,240.99
2018-08-14,243.7
2018-08-15,243.48
2018-08-16,246.25
2018-08-17,246.94
2018-08-20,248.79
2018-08-21,251.11
2018-08-22,246.94
2018-08-23,244.47
2018-08-24,245.02
2018-08-27,248.9
2018-08-28,247.63
2018-08-29,247.6
2018-08-30,246.74
2018-08-31,243.95
2018-09-04,241.29
2018-09-05,244.76
2018-09-06,246.19
2018-09-07,245.97
2018-09-10,249.45
2018-09-11,249.36
2018-09-12,252.98
2018-09-13,253.17
2018-09-14,255.44
2018-09-17,255.73
2018-09-18,241.58
2018-09-19,242.88
2018-09-20,246.81
2018-09-21,247.32
2018-09-24,243.84
2018-09-25,239.2
2018-09-26,241.11
2018-09-27,240.7
2018-09-28,240.79
2018-10-01,239.93
2018-10-02,239
2018-10-03,240.94
2018-10-04,239.07
2018-10-05,236.06
2018-10-08,234.99
2018-10-09,229.75
2018-10-10,221.46
2018-10-11,217.42
2018-10-12,221
2018-10-15,221.02
2018-10-16,226.18
2018-10-17,223.46
2018-10-18,217.29
2018-10-19,219.8
2018-10-22,218.4
2018-10-23,218.38
2018-10-24,209.2
2018-10-25,213.78
2018-10-26,210.53
2018-10-29,211.04
2018-10-30,216.53
2018-10-31,220.34
2018-11-01,224.04
2018-11-02,221.66
2018-11-05,222.61
2018-11-06,226.77
2018-11-07,231.28
2018-11-08,229.4
2018-11-09,224.4
2018-11-12,219.63
2018-11-13,222.51
2018-11-14,225.16
2018-11-15,227.81
2018-11-16,226.69
2018-11-19,226.3
2018-11-20,221.34
2018-11-21,222.55
2018-11-23,223.4
2018-11-26,225.04
2018-11-27,225.23
2018-11-28,231.85
2018-11-29,227.5
2018-11-30,229
2018-12-03,230.04
2018-12-04,215.52
2018-12-06,215.06
2018-12-07,201.39
2018-12-10,192.93
2018-12-11,189.65
2018-12-12,188.27
2018-12-13,187.18
2018-12-14,184.11
2018-12-17,182.19
2018-12-18,185.01
2018-12-19,162.51
2018-12-20,159.72
2018-12-21,158
2018-12-24,152.7
2018-12-26,160.15
2018-12-27,161.02
2018-12-28,158.98
2018-12-31,161.33
